stations	Aand	Atax	Btep	Bspo	Iacu	Ipal	Ipar	Ipat	Isph	Istr	Ipli	Ivel	Ijap	Lmac	Mcho	Nlab	Nrig	Ocen	Oisr	Ojan	Olon	Ogig	Pzoh	Pret	Smem	Sdel	Selo	Sram	Sbel	Sben	Sbul	Slaz	Smir	Sgra	Spac	Sspp	Tpel	Pdal	Stri	Imin	Imic	Ibre	Ekar	Bspp	Dubr	Peri	Lspp	Snep	Xxan	Squa	Pnud	Tapp	Tvar	Vcal	Vspi	Pame	Qcon	 Psch	Parc	Pkof	Gymn	Eacu	Egra	Edel	Etra	Espp	Sste	Sbif	Cysa	Tvan	Dcha
0	0	0	6.41025641	0	22.43589744	12.82051282	9.615384615	0	16.02564103	0	0	0	0	0	0	634.6153846	0	182.6923077	0	0	0	0	0	3.205128205	0	0	9.615384615	6.41025641	0	0	0	0	0	0	0	0	0	22.43589744	0	0	0	0	0	54.48717949	0	0	0	0	0	0	0	16.02564103	0	0	0	0	0	3.205128205	0	0	0	0	0	0	0	0	0	0	0	0	0
0.01	0	0	0	0	0	17.69911504	26.54867257	0	26.54867257	0	0	0	0	0	0	486.7256637	0	389.380531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.849557522	0	0	0	0	0	17.69911504	0	0	0	0	0	0	0	26.54867257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.02	0	0	7.142857143	0	35.71428571	0	7.142857143	14.28571429	21.42857143	0	0	0	0	0	0	528.5714286	0	271.4285714	0	0	0	0	0	0	0	0	7.142857143	0	0	0	0	0	0	0	0	7.142857143	0	35.71428571	0	0	0	0	0	42.85714286	0	0	0	0	0	0	0	21.42857143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	0	0	58.82352941	0	0	0	0	0	0	0	0	0	0	0	0	235.2941176	0	352.9411765	0	0	0	0	0	0	0	0	58.82352941	0	0	0	0	0	0	0	0	0	0	235.2941176	0	0	0	0	0	58.82352941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.04	0	0	18.18181818	0	18.18181818	0	36.36363636	0	36.36363636	0	0	0	0	0	0	563.6363636	0	218.1818182	0	0	0	0	0	18.18181818	0	0	18.18181818	0	0	0	0	0	0	0	0	0	0	54.54545455	0	0	0	0	0	18.18181818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.06	0	0	3.164556962	0	9.493670886	15.82278481	15.82278481	0	22.15189873	0	0	0	0	0	0	506.3291139	0	389.2405063	0	0	0	0	0	0	0	0	3.164556962	0	0	0	0	0	3.164556962	0	0	0	0	12.65822785	0	0	0	0	0	12.65822785	0	0	0	0	0	0	0	6.329113924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.07	0	0	12.5	0	18.75	12.5	0	0	31.25	0	0	0	0	0	0	506.25	0	337.5	0	0	0	0	0	6.25	0	0	6.25	0	0	0	0	0	0	0	0	0	0	56.25	0	0	0	0	0	0	0	0	0	0	0	0	0	12.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.08	0	0	9.302325581	0	27.90697674	4.651162791	18.60465116	0	18.60465116	0	0	0	0	0	0	567.4418605	0	306.9767442	0	0	0	0	0	0	0	0	4.651162791	4.651162791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.60465116	0	0	0	0	0	0	0	18.60465116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.09	0	3.205128205	0	0	32.05128205	16.02564103	19.23076923	0	6.41025641	0	0	0	0	0	0	535.2564103	0	346.1538462	0	0	0	0	0	3.205128205	0	0	6.41025641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.05128205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.11	0	0	12.53918495	0	12.53918495	9.404388715	6.269592476	0	3.134796238	0	0	0	0	0	0	561.1285266	0	379.3103448	0	0	0	0	0	0	0	0	12.53918495	0	0	0	0	0	3.134796238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.12	0	0	0	0	9.677419355	9.677419355	3.225806452	3.225806452	9.677419355	0	0	0	0	0	0	612.9032258	0	319.3548387	0	0	0	0	0	0	0	0	19.35483871	0	0	0	0	0	9.677419355	0	0	0	0	0	0	0	0	0	0	3.225806452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.13	0	0	15.7480315	0	35.43307087	7.874015748	7.874015748	3.937007874	35.43307087	0	0	0	0	0	0	547.2440945	0	307.0866142	0	0	0	0	0	3.937007874	0	0	15.7480315	3.937007874	0	0	0	0	7.874015748	0	0	0	0	7.874015748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.14	0	0	6.024096386	0	12.04819277	3.012048193	12.04819277	6.024096386	30.12048193	0	0	0	0	0	0	644.5783133	0	243.9759036	0	0	0	0	0	0	0	0	21.08433735	0	0	0	0	0	9.036144578	0	0	3.012048193	0	9.036144578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.16	0	0	13.1147541	0	26.2295082	6.557377049	6.557377049	0	19.67213115	0	0	0	0	0	0	590.1639344	0	327.8688525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.278688525	0	0	0	0	6.557377049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.17	0	3.300330033	16.50165017	0	13.20132013	0	23.10231023	0	23.10231023	0	0	0	0	0	0	465.3465347	0	425.7425743	0	0	0	0	0	0	0	0	6.600660066	0	0	0	0	0	3.300330033	0	0	3.300330033	0	16.50165017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
